"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"URY",3391922.29411765,"Net","calcium",2903809782141.41,567926810.510739,1300,"mg",2233699832.41647,658.535083863862,436866.777315953,0.128796222152134
"URY",3391922.29411765,"Net","zinc",4880999085.70144,954625.285683833,11,"mg",443727189.609222,130.81879569551,86784.1168803484,0.0255855262459436
"URY",3391922.29411765,"Net","iron",2927213173.19744,572504.043261771,18,"mg",162622954.066524,47.944186206314,31805.7801812095,0.0093769188746947
"URY",3391922.29411765,"Net","vitamina",1230941074630.03,240747325.372585,900,"mcg",1367712305.14447,403.226308431769,267497.028191761,0.0788629588170876
"URY",3391922.29411765,"Net","vitaminb12",37603664545.5352,7354520.74037457,2.4,"mcg",15668193560.6397,4619.26665826391,3064383.64182274,0.903435685167985
"USA",319834971.117647,"Net","protein",6733716201475.07,1316979503.51556,50,"g",134674324029.501,421.074417093568,26339590.0703112,0.0823536900241674
"USA",319834971.117647,"Net","fattyacids",288179127580.049,56362043.3366026,1.4,"g",205842233985.749,643.588889815408,40258602.3832876,0.125873047098652
"USA",319834971.117647,"Net","calcium",19432581569313.1,3800622250.99024,1300,"mg",14948139668.7024,46.7370394690326,2923555.5776848,0.00914082524330777
"USA",319834971.117647,"Net","zinc",734017477117.917,143559060.652829,11,"mg",66728861556.1742,208.635288764683,13050823.6957118,0.0408048677419681
"USA",319834971.117647,"Net","iron",452491046662.983,88498151.1173447,18,"mg",25138391481.2769,78.5980075706919,4916563.95096359,0.0153721900196933
"USA",319834971.117647,"Net","vitamina",9057287859051.14,1771423402.90458,900,"mcg",10063653176.7235,31.4651432317003,1968248.22544954,0.00615394939012327
"USA",319834971.117647,"Net","vitaminb12",2299878821157.54,449810056.944562,2.4,"mcg",958282842148.976,2996.17905696899,187420857.060234,0.585992383526108
"UZB",31405579.4117647,"Net","protein",0,0,50,"g",0,0,0,0
"UZB",31405579.4117647,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"UZB",31405579.4117647,"Net","calcium",0,0,1300,"mg",0,0,0,0
"UZB",31405579.4117647,"Net","zinc",0,0,11,"mg",0,0,0,0
"UZB",31405579.4117647,"Net","iron",0,0,18,"mg",0,0,0,0
"UZB",31405579.4117647,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"UZB",31405579.4117647,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"VCT",106837.941176471,"Net","protein",22284972015.1773,4358492.47314244,50,"g",445699440.303546,4171.73370616865,87169.8494628488,0.815907237662556
"VCT",106837.941176471,"Net","fattyacids",1690252843.25941,330579.47257176,1.4,"g",1207323459.47101,11300.5122166927,236128.194694114,2.21015298585815
"VCT",106837.941176471,"Net","calcium",70956280828.6174,13877621.9105452,1300,"mg",54581754.4835519,510.883623200825,10675.0937773424,0.0999185650695922
"VCT",106837.941176471,"Net","zinc",1124270753.2873,219884.755190162,11,"mg",102206432.117027,956.649210866081,19989.5231991057,0.187101351626458
"VCT",106837.941176471,"Net","iron",1434922514.29001,280641.993798164,18,"mg",79717917.4605563,746.157372397148,15591.2218776758,0.145933380089409
"VCT",106837.941176471,"Net","vitamina",15941324626.6779,3117802.58687226,900,"mcg",17712582.918531,165.789257294598,3464.22509652473,0.0324250454321529
"VCT",106837.941176471,"Net","vitaminb12",7962665999.23924,1557337.37516903,2.4,"mcg",3317777499.68302,31054.3002153406,648890.572987095,6.07359675637407
"VEN",29150716,"Net","protein",565697608133.077,110639078.453565,50,"g",11313952162.6615,388.119185911644,2212781.5690713,0.0759083093901123
